Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
9.917	0.0345	1.73			
9.933	0.0343	1.71			
9.950	0.0340	1.71			
9.967	0.0338	1.73			
9.983	0.0337	1.71			
10.000	0.0336	1.71			
10.017	0.0335	1.71			
10.033	0.0334	1.73			
10.050	0.0334	1.71			
10.067	0.0334	1.71			
10.083	0.0333	1.71			
10.100	0.0332	1.71			
10.117	0.0331	1.71			
10.133	0.0330	1.71			
10.150	0.0328	1.71			
10.167	0.0326	1.71			
10.183	0.0324	1.71			
10.200	0.0321	1.71			
10.217	0.0320	1.73			
10.233	0.0320	1.71			
10.250	0.0319	1.73			
10.267	0.0318	1.71			
10.283	0.0317	1.71			
10.300	0.0315	1.73			
10.317	0.0316	1.71			
10.333	0.0315	1.73			
10.350	0.0313	1.71			
10.367	0.0311	1.73			
10.383	0.0311	1.73			
10.400	0.0310	1.71			
10.417	0.0310	1.71			
10.433	0.0310	1.71			
10.450	0.0311	1.73			
10.467	0.0312	1.71			
10.483	0.0313	1.71			
10.500	0.0317	1.71			
10.517	0.0321	1.73			
10.533	0.0326	1.71			
10.550	0.0332	1.73			
10.567	0.0338	1.71			
10.583	0.0345	1.71			
10.600	0.0348	1.71			
10.617	0.0348	1.71			
10.633	0.0348	1.71			
10.650	0.0350	1.71			
10.667	0.0354	1.71			
10.683	0.0359	1.71			
10.700	0.0364	1.73			
10.717	0.0366	1.73			
10.733	0.0367	1.71			
10.750	0.0367	1.71			
10.767	0.0366	1.71			
10.783	0.0369	1.71			
10.800	0.0373	1.71			
10.817	0.0376	1.71			
10.833	0.0380	1.73			
10.850	0.0385	1.71			
10.867	0.0389	1.71			
10.883	0.0391	1.71			
10.900	0.0391	1.70			
10.917	0.0389	1.73			
10.933	0.0391	1.71			
10.950	0.0393	1.73			
10.967	0.0387	1.71			
10.983	0.0378	1.73			
