Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
6.667	0.1554	1.73			
6.683	0.1563	1.71			
6.700	0.1573	1.71			
6.717	0.1581	1.71			
6.733	0.1589	1.71			
6.750	0.1598	1.71			
6.767	0.1607	1.73			
6.783	0.1615	1.73			
6.800	0.1625	1.71			
6.817	0.1632	1.73			
6.833	0.1641	1.71			
6.850	0.1649	1.71			
6.867	0.1657	1.73			
6.883	0.1664	1.73			
6.900	0.1672	1.73			
6.917	0.1678	1.71			
6.933	0.1685	1.73			
6.950	0.1691	1.73			
6.967	0.1696	1.73			
6.983	0.1700	1.71			
7.000	0.1706	1.73			
7.017	0.1711	1.73			
7.033	0.1713	1.71			
7.050	0.1715	1.71			
7.067	0.1716	1.71			
7.083	0.1717	1.73			
7.100	0.1718	1.71			
7.117	0.1717	1.71			
7.133	0.1716	1.71			
7.150	0.1714	1.71			
7.167	0.1712	1.71			
7.183	0.1709	1.71			
7.200	0.1706	1.71			
7.217	0.1702	1.73			
7.233	0.1697	1.71			
7.250	0.1692	1.73			
7.267	0.1687	1.73			
7.283	0.1683	1.73			
7.300	0.1676	1.73			
7.317	0.1670	1.71			
7.333	0.1662	1.71			
7.350	0.1654	1.73			
7.367	0.1643	1.71			
7.383	0.1631	1.73			
7.400	0.1619	1.73			
7.417	0.1609	1.71			
7.433	0.1600	1.73			
7.450	0.1589	1.73			
7.467	0.1579	1.71			
7.483	0.1566	1.73			
7.500	0.1554	1.71			
7.517	0.1542	1.73			
7.533	0.1531	1.71			
7.550	0.1517	1.73			
7.567	0.1506	1.70			
7.583	0.1495	1.71			
7.600	0.1483	1.71			
7.617	0.1471	1.71			
7.633	0.1460	1.71			
7.650	0.1447	1.71			
7.667	0.1433	1.71			
7.683	0.1421	1.73			
7.700	0.1408	1.71			
7.717	0.1396	1.73			
7.733	0.1380	1.71			
7.750	0.1365	1.73			
7.767	0.1350	1.73			
7.783	0.1338	1.71			
7.800	0.1321	1.73			
7.817	0.1304	1.73			
7.833	0.1287	1.71			
7.850	0.1270	1.71			
7.867	0.1254	1.73			
7.883	0.1235	1.71			
7.900	0.1219	1.73			
7.917	0.1204	1.73			
7.933	0.1186	1.71			
7.950	0.1169	1.73			
7.967	0.1154	1.73			
7.983	0.1137	1.71			
8.000	0.1119	1.71			
8.017	0.1103	1.71			
8.033	0.1085	1.71			
8.050	0.1068	1.73			
8.067	0.1052	1.71			
8.083	0.1038	1.73			
8.100	0.1022	1.73			
8.117	0.1008	1.73			
8.133	0.0990	1.73			
8.150	0.0973	1.71			
8.167	0.0956	1.73			
8.183	0.0941	1.71			
8.200	0.0928	1.71			
8.217	0.0917	1.71			
8.233	0.0904	1.71			
8.250	0.0890	1.71			
8.267	0.0878	1.73			
8.283	0.0865	1.73			
8.300	0.0851	1.71			
8.317	0.0841	1.71			
8.333	0.0831	1.71			
8.350	0.0820	1.71			
8.367	0.0812	1.73			
8.383	0.0803	1.73			
8.400	0.0795	1.71			
8.417	0.0786	1.71			
8.433	0.0779	1.73			
8.450	0.0772	1.73			
8.467	0.0766	1.71			
8.483	0.0760	1.73			
8.500	0.0754	1.71			
8.517	0.0748	1.73			
8.533	0.0743	1.71			
8.550	0.0738	1.71			
8.567	0.0734	1.71			
8.583	0.0729	1.71			
8.600	0.0725	1.73			
8.617	0.0723	1.71			
8.633	0.0720	1.71			
8.650	0.0717	1.71			
8.667	0.0714	1.71			
8.683	0.0713	1.73			
8.700	0.0712	1.71			
8.717	0.0711	1.71			
8.733	0.0708	1.71			
8.750	0.0705	1.71			
8.767	0.0704	1.73			
8.783	0.0702	1.71			
8.800	0.0700	1.71			
8.817	0.0698	1.71			
8.833	0.0697	1.71			
8.850	0.0695	1.71			
8.867	0.0693	1.71			
8.883	0.0693	1.71			
8.900	0.0691	1.71			
8.917	0.0689	1.71			
8.933	0.0686	1.71			
8.950	0.0685	1.71			
8.967	0.0684	1.73			
8.983	0.0682	1.71			
9.000	0.0679	1.73			
9.017	0.0678	1.71			
9.033	0.0677	1.73			
9.050	0.0677	1.73			
9.067	0.0676	1.71			
9.083	0.0676	1.73			
9.100	0.0675	1.71			
9.117	0.0676	1.73			
9.133	0.0677	1.71			
9.150	0.0677	1.71			
9.167	0.0677	1.71			
