Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
10.100	0.0360	1.79			
10.117	0.0361	1.80			
10.133	0.0361	1.79			
10.150	0.0362	1.80			
10.167	0.0363	1.79			
10.183	0.0365	1.80			
10.200	0.0366	1.79			
10.217	0.0367	1.80			
10.233	0.0368	1.79			
10.250	0.0369	1.79			
10.267	0.0370	1.80			
10.283	0.0370	1.79			
10.300	0.0371	1.80			
10.317	0.0371	1.80			
10.333	0.0372	1.79			
10.350	0.0372	1.79			
10.367	0.0374	1.80			
10.383	0.0375	1.79			
10.400	0.0374	1.79			
10.417	0.0374	1.80			
10.433	0.0375	1.79			
10.450	0.0376	1.80			
10.467	0.0376	1.79			
10.483	0.0377	1.80			
10.500	0.0377	1.79			
10.517	0.0378	1.80			
10.533	0.0380	1.80			
10.550	0.0382	1.79			
10.567	0.0384	1.79			
10.583	0.0386	1.79			
10.600	0.0387	1.79			
10.617	0.0388	1.80			
10.633	0.0388	1.79			
10.650	0.0387	1.79			
10.667	0.0386	1.79			
10.683	0.0385	1.79			
10.700	0.0382	1.79			
10.717	0.0381	1.79			
10.733	0.0379	1.79			
10.750	0.0376	1.79			
10.767	0.0375	1.79			
10.783	0.0375	1.80			
10.800	0.0376	1.79			
10.817	0.0375	1.79			
10.833	0.0375	1.79			
